,SP_ID,Int_Name,Area_Rep,Area_GIS,PA_type,PA_DEF,IUCN_CAT,RealmNr,SR_B,Prop_SR_B,SR_M,Prop_SR_M,SR_A,Prop_SR_A,SR_R,Prop_SR_R,RSR_B,RSR_M,RSR_A,RSR_R,PE_WMean_B,PE_WMean_M,PE_WMean_A,PE_WMean_R,TO_PAbird,TO_PA_weightbird,TO_PAmammal,TO_PA_weightmammal,TO_PAamphibian,TO_PA_weightamphibian,TO_PAreptile,TO_PA_weightreptile,HFP_WMean,HFP_Max,HFPRisk_around,BaseCarbon_WMean,BaseCarbon_WSum,VulCarbon_WMean,VulCarbon_WSum,IrrCarbon_WMean,IrrCarbon_WSum,BII_WMean,BII_Max,BioAnth_WMean,BioAnth_Max,TreeCover_WMean,TreeCover_Max,BioCropRisk,CropRisk,PastureRisk
1350,248,Таджикский Национальный парк,2600,23357.75121,NA,1,II,8,216,0.021820386,58,0.010982768,0,0,35,0.032894737,1.93E-07,1.50E-06,NA,2.39E-06,2.405345174,1.786508588,NaN,NaN,0.079703965,0.081252493,0.107737104,0.10595526,0.16240009,0.149272182,0.665401036,0.698731171,2.173742414,6.758103158,5.219654287,1.098859868,31.76832847,1.097137292,31.7302372,0.011195291,1.480542494,0.847224606,0.917964391,0.109288609,1.272842407,0.108003606,0.204799995,8.10E-07,0.00052138,0.020513842
70,1016,Área Natural de Manejo Integrado San Matías,NA,32846.87686,KBA,NA,NA,6,468,0.047277503,163,0.030865366,61,0.009541686,175,0.164473684,2.49E-07,8.93E-07,4.18E-06,5.45E-07,7.650102328,3.764074961,4.666477588,0.683012386,0.118326697,0.122683346,0.123519947,0.129681511,0.13932421,0.139559076,0.195897465,0.211678513,2.675064913,7.711172802,4.326137484,56.1108148,1289.046366,56.10169703,1288.780804,2.100560647,76.36362577,0.715993489,0.786778605,0.034711153,4.426971435,-0.078054971,0.046899974,8.77E-08,0.020587464,0.074610218
14,123,2001056 Torneträsk-Soppero Fjällurskog,3368.852539,3349.342889,NA,1,Ib,8,115,0.011617335,29,0.005491384,3,0.000469263,3,0.002819549,8.63E-08,9.95E-08,9.67E-08,6.06E-08,0.811720802,0.188174339,0.064047281,0.373541083,0.095189487,0.095420127,0.114201008,0.111598409,0.260459984,0.25937701,0.807459416,0.803014684,1.94768964,3.234004064,2.388608578,21.77730024,272.8626293,21.3587186,267.7631126,3.428923582,37.54988763,0.949031043,0.955735746,0.028569702,0.101058961,0.202586756,0.28940001,0,-0.000416572,-0.000560273
15,25,2001071 Sjaunja,2850.217285,2836.696616,NA,1,Ia,8,113,0.011415294,29,0.005491384,3,0.000469263,3,0.002819549,8.73E-08,9.95E-08,9.67E-08,6.06E-08,0.814188739,0.199697796,0.071511537,1.257478471,0.075751401,0.079299679,0.082040555,0.090285186,0.202074819,0.206634536,0.773417092,0.794477174,1.36809042,5.491066856,2.398326555,26.06514757,230.8267048,25.93254992,229.3834684,4.851883271,44.49699389,0.93322066,0.953020697,0.019557327,0.106964111,0.193839467,0.496183321,0,-0.00025006,-0.000463033
16,124,2001842 Vindelfjällen,5649.192383,5541.568191,NA,1,Ib,8,132,0.01333468,30,0.005680742,4,0.000625684,2,0.001879699,7.94E-08,1.13E-07,1.02E-07,6.01E-08,0.825655313,0.211125891,0.180616218,0.356743519,0.048158715,0.050521932,0.061113206,0.059125705,0.114801268,0.114419275,0.89173645,0.894453886,1.393652205,3.545678778,2.461754005,25.92875499,368.9896013,25.60421551,361.1509479,8.733292148,119.0145165,0.908743553,0.959803549,-0.087113635,0.078170777,0.085086256,0.303800005,0,-0.000317875,-0.000432061
18,1351,Abra Patricia - Alto Mayo,NA,3582.33776,KBA,NA,NA,6,865,0.087382564,219,0.041469419,117,0.018301267,160,0.15037594,2.21E-06,2.28E-06,4.68E-05,2.92E-06,75.63911047,14.03698695,119.0519896,2.33085911,0.114801343,0.134278343,0.107336514,0.126142777,0.219373749,0.244177864,0.382101361,0.439493076,3.728355659,6.211045945,4.111058223,119.5257682,696.7968528,119.521284,696.7647299,42.44442004,232.1086107,0.95732318,0.967647135,0.653498125,2.337341307,0.044854454,0.244333386,0.000403988,0.183818721,-0.00038067
19,85,Absaroka-Beartooth,3808.674618,3808.526265,NA,1,Ib,5,189,0.019092838,76,0.014391214,8,0.001251369,12,0.011278195,2.10E-07,4.74E-07,2.76E-07,3.00E-07,2.84325237,1.772370258,0.495305397,0.104463474,0.070349796,0.080328204,0.089113857,0.087792623,0.092245196,0.151337123,0.524494481,0.566715121,2.054966528,5.02809503,3.371799387,33.6406403,212.0574355,33.63543991,212.0267374,7.355068725,43.71358791,0.811911105,0.870571848,0.187345445,1.271194456,0.082829651,0.27609998,0,-0.040864494,0.019080152
20,1116,Abyy lowland,NA,11800.95186,KBA,NA,NA,8,88,0.008889787,28,0.005302026,2,0.000312842,0,0,1.27E-07,1.19E-07,9.93E-08,NA,0.719256558,0.198092358,0.125462535,NaN,0.104821921,0.113450762,0.082513573,0.087300358,0.134093991,0.135625367,1,1,1.509276822,2.48063726,0.609852302,4.592412079,119.6438865,4.069529474,103.6538005,0.619771799,24.78799787,1.001329665,1.002430687,0.074188004,0.293273926,0.018136797,0.026800002,0,0,0
21,945,Active Delta (Mississippi River Birdsfoot Delta),NA,2367.515655,KBA,NA,NA,5,100,0.010102031,28,0.005302026,20,0.003128422,38,0.035714286,2.24E-07,2.68E-07,7.02E-07,7.04E-07,NaN,0.766769683,4.180847877,0.153098216,0.101670699,0.108825468,0.137649956,0.142661782,0.15950635,0.165399859,0.435263709,0.437577038,4.78247662,8.981935464,11.67246638,7.934581705,33.7925319,7.928857091,33.86976145,1.362903271,6.64099889,0.621406559,0.678985239,0.041109024,0.159255981,NaN,#NAME?,0.004369438,-0.006035668,-0.000183659
22,10,Addax Sanctuary,12800,12805.64008,NA,1,Ia,8,58,0.005859178,30,0.005680742,4,0.000625684,40,0.037593985,1.42E-07,2.98E-07,1.50E-07,2.34E-07,0.94186679,0.529967253,0.20988369,2.521401243,0.194724496,0.206167593,0.122419099,0.12892276,0.280795928,0.308610183,0.260969618,0.273420579,0.062414038,1.107536746,0.390413166,9.213954718,30.39410431,9.21366743,30.38902385,0,1,0.841426768,0.857170706,0,0,0.021281984,0.027883336,0,0,0
