,PAname,Int_Name,x,y
1,–¢–∞–¥–∂–∏–∫—Å–∫–∏–π –ù–∞—Ü–∏–æ–Ω–∞–ª—å–Ω—ã–π –ø–∞—Ä–∫,Tajik National Park,72.44,38.54
2,√Årea Natural de Manejo Integrado San Mat√≠as,Área Natural de Manejo Integrado San Matías,-58.6,-17.53
3,2001056 Tornetr√§sk-Soppero Fj√§llurskog,Torneträk-Soppero Fjällurskog,21.2,68.05
4,2001071 Sjaunja,Sjaunja,19.2,67.55
5,2001842 Vindelfj√§llen,Vindelfjällen,15.98,65.87
6,Abra Patricia - Alto Mayo,Abra Patricia - Alto Mayo,-77.5,-5.75
7,Absaroka-Beartooth,Absaroka-Beartooth,-110.11,45.32
8,Abyy lowland,Abyy lowland,144.38,68.18
9,Active Delta (Mississippi River Birdsfoot Delta),Active Delta (Mississippi River Birdsfoot Delta),-89.25,29.12
10,Addax Sanctuary,Addax Sanctuary,9.53,19.31
11,Adelaide and Mary River Floodplains,Adelaide and Mary River Floodplains,131.5,-12.5
12,Adjara-Imereti Ridge,Adjara-Imereti Ridge,43,41.75
13,Adovo-Chugrumski wetland,Adovo-Chugrumski wetland,52.75,60.5
14,Aginskiye lakes,Aginskiye lakes,115,50.75
15,Agriculture lands of south and east of Novouzensk*,Agriculture lands of south and east of Novouzensk,48.35,50.45
16,Aguaro-Guariquito,Aguaro-Guariquito,-66.5,8.25
17,Aguelhok,Aguelhok,0.75,19
18,Ai-Ais Hot Springs,Ai-Ais Hot Springs,17.31,-27.81
19,Akami‚ÄìUapishku - Kakkasuak - Mealy Mountains National Park Reserve Of Canada,Akami Uapishku - KakKasuak - Mealy Mountains National Park Reserve Of Canada,-58.45,53.52
20,Akimiski Island,Akimiski Island,-81.5,53
21,Aksu River basin,Aksu River basin,80.71,40.56
22,Aktau cliff faces,Aktau cliff faces,51.39,44.46
23,Al Wusta Wildlife Reserve,Al Wusta Wildlife Reserve,57.25,20
24,Al-Habrow al-Arabi,Al-Habrow al-Arabi,41.45,18.65
25,Aladaƒülar,Aladafülar,35.35,37.95
26,Alatish,Alatish,35.55,12.15
27,Alberto De Agostini,Alberto De Agostini,-70.57,-54.71
28,Alborz-e Markazi Protected Area,Alborz-e Markazi Protected Area,51.61,36.25
29,Alcudia valley and mountain range,Alcudia valley and mountain range,-4.65,38.55
30,Algonquin Provincial Park (Natural Environment Class),Algonquin Provincial Park (Natural Environment Class),-78.5,45.85
31,Alpine,Alpine,147.5,-37
32,Altai Tavan range,Altai Tavan range,88.6,48.55
33,Altan Els,Altan Els,95,50
34,Altay forest and steppe,Altay forest and steppe,88.75,47.9
