"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"6",769,"Adelaide and Mary River Floodplains","KBA",NA,NA,1,0.049660070258615,0.446927365974408,0.452173914638941,0.403225789854318,0.565934077479532,0.0373381833743447,0.0544850047496268,0.110036169024024,0.0341554987745737,0.139999174134607,0.204825077727424,0.171046586718041,0.214539215310521,0.0482555853726363,0.0718787340773861,0.123759811672092,0.206417000413111,0.129825867449672,0.25313833737673,0.253711243111952,0.0327415361725874,0.154267450724516,0.0729912058958238,0.914346811382341,0,0.266598976762455,0.721339409271244,0.251192678227628,0.642838615171841,0.736955253627681,0.731780455750621,0.191893640174768,0.215710106389505
"26",354,"Alpine","IUCN",1,"II",1,0.213917754758328,0.597765359581692,0.434782606701323,0.532258104349637,0.340659335798092,0.0454691344816519,0.175600488533044,0.148704678448555,0.0273765448193148,0.182775433317898,0.409768014924568,0.242551311150852,0.0897276625901305,0,0,0.212439972739211,0.195881435311659,0.205961189524508,0.777840635212459,0.779369271890864,0.797056916017283,0.663981300919072,0.0876029943684195,0.141810675922929,5.79681301645142e-06,0.271998834627031,0.708843806794266,0.301801667156962,0.848446309454827,1,0.734419707184736,0.837242898709357,0.535022414813816
"43",1263,"Anindilyakwa","KBA",NA,NA,1,0.0490036632485466,0.296089372367123,0.400000036695652,0.322580631883454,0.489010996302862,0.014657109232909,0.0873931333966617,0.00743964477901608,0.029253793606925,0.0745708622177985,0.0997145807185663,0.0611409462585964,0.23325954975814,0.202035935045487,0.255142534230437,0.193530529711502,0.447344586583203,0.20319484774228,0.215911734850332,0.216277262092879,0.0427920842071878,0.148135413224262,0.0664236825471435,0.699069935581278,0,0.266598976762455,0.722316671134311,0.15847023180843,0.607046543368482,0.606473159447082,0.731416667490596,0.16891651078332,0.213590474197342
"46",768,"Anson Bay, Daly and Reynolds River Floodplains","KBA",NA,NA,1,0.0492999774170815,0.441340778730314,0.469565222576559,0.387096737679499,0.554945073782394,0.028458328875575,0.0602524087393133,0.0177022377745758,0.0136100537101736,0.132579761412913,0.171491467450747,0.105671547131109,0.062624431853011,0.216747417870572,0.213738952679321,0.145231626576966,0.142653319469421,0.0460048673551278,0.256850536483406,0.257448386269993,0.0299631466937139,0.129626265107252,0.0737234780479953,0.847402412198741,0,0.165975776531755,0.675186881894806,0.201022397549505,0.671521714035714,0.67055033725619,0.786418100560075,0.193554761170803,0.214548946490841
"100",797,"Barmah-Millewa","KBA",NA,NA,1,0.0513374021005361,0.55307260642224,0.269565250098298,0.258064526087409,0.346153837646661,0.0318818872365465,0.00668340344687203,0.0390213779515982,0.00533972988475778,0.125518825458287,0.0677889136007188,0.05257628603109,0.00905230710919041,0.303101686634568,0.509403416025088,0.436614410636098,0.286203690444362,0.617282184064517,0.347514411425578,0.348273738417691,0.219352050804075,0.211249089196147,0.0443653241367048,0.268781571139316,0.187495310820533,0.576417454036679,0.616299310369089,0.113319749755483,0.44563154201726,0.63426843147622,0.585755558803306,0.325449361470356,0.221067358741628
"114",1266,"Biak Island","KBA",NA,NA,1,0.0525747959091179,0.0782122766240129,0.226086957319471,0.0967742101456822,0.175824169747615,1,0.48771882209255,1,0.0484434478802732,NA,0.317524572038183,0.142398541671128,0.309251808808231,0.407022561298532,0.32017404460789,0.236270747384263,0.738462948574762,0.491683792267666,1,1,0.677797268114754,0.986866798201955,0.0860696896650935,0.378073928712417,0,0.314633830105709,0.744159125206439,0.431654456300247,0.867436447694869,0.552222335824699,0.705404658795113,0.952299342153853,0.224966239141958
"120",377,"Blue Mountains","IUCN",1,"II",1,0.053618927057017,0.645251378759839,0.460869591542533,0.645161263766909,0.467032988908587,0.0480368032523804,0.0436287148866875,0.0534301761402064,0.0284194608124316,0.248816197997698,0.162964765762783,0.213187302863993,0.135770442842841,0.188091779823691,0.380419416236137,0.226677417808386,0.269913661641753,0.529875685696211,0.583784624657561,0.584953445702242,0.293855101809794,0.733085486609305,0.135171172110366,0.368119708044622,0.0399616810125942,0.491223278963301,0.638231344026338,0.292154184379447,0.700054234664462,0.804655611204086,0.664224830686618,0.520138896353574,0.228221850737152
"123",293,"Bogani Nani Wartabone","IUCN",1,"II",1,0.0598958724901307,0.410614521284448,0.686956548862004,0.209677472466183,0.335164833949523,0.216861024927784,0.157959017505767,0.10959508336519,0.0752463889033738,0.863125715202069,0.411346520573817,0.121697177287981,0.289190371810332,0.345215283065658,0.484555589507655,0.325082949009984,0.687442114416826,0.717871084060527,0.670182263993147,0.671390637993948,0.26520130772685,0.978749360836656,0.150183023274458,0.248217446361801,0.474054523212129,0.905679338302617,0.843596873484307,0.386846881090642,0.720987949492592,0.503754463666379,0.271902453689175,0.571413691813056,0.2471644027155
"131",363,"Bon Bon Station","IUCN",1,"II",1,0.0315986811891366,0.265363114921257,0.226086957319471,0,0.467032988908587,0.00813095110730715,0.0135025105170308,NA,0.00204411534650884,0.0336880740829318,0.0717141347573254,NA,0.011230316244928,0.367682518004318,0.37431547899374,0.299461044736749,0.110469368919097,0.289362408160669,0.00367229838406854,0.00382595593120621,0,0.0713769118731528,0.0658946929861652,0.265210326056453,0,0.266598976761955,0.71211860488303,0.0558279148427081,0.527350270573118,0.780884794369708,0.735212924069882,0.00266658822038668,0.151965590355135
"133",384,"Boodjamulla (Lawn Hill)","IUCN",1,"II",1,0.0589956144259894,0.399441319192909,0.347826112882798,0.306451579708636,0.560439575630963,0.0177597089975393,0.013265029176279,0.0118210956567765,0.00766543254940815,0.0578557771773795,0.0795373311055768,0.0291460534599892,0.0395708501369015,0.0926279988829312,0.100587072184422,0.414308307018709,0.155989334007579,0.151531420675826,0.0219543169370697,0.0221413964224818,0.000315900716816731,0.117822231577042,0.0659102650691254,0.696587328343197,0,0.266598976760848,0.55862424218134,0.126986458585667,0.617776123765892,0.737543622411326,0.79235159819764,0.0157940077736698,0.244511382355036
"145",772,"Buckley River","KBA",NA,NA,1,0.141706217763441,0.385474851082675,0.304347865973535,0.177419368116546,0.560439575630963,0.0184016261902215,0.0402361243045189,0.0144676096097862,0.0396829535380925,0.0558573872116831,0.0590115430368289,0.0176753520726854,0.0362052946660905,0.105297395150541,0.114554118888062,0.301161153240026,0.138815956891865,0.263363473792661,0.0295123577331853,0.029706032834626,0.000635928478069083,0.126254287457365,0.066058538377156,0.518865061313464,0,0.266598976761995,0.47401363399721,0.106168254448294,0.566959867631608,0.877301120537843,0.823848116268989,0.0212858640686372,0.428971242224848
"150",776,"Bulloo Floodplain","KBA",NA,NA,1,0.330490978301414,0.374301676594488,0.200000018347826,0.241935473912591,0.434065922520468,0.0125173852573018,0.000203555434930114,0.00599876496015526,0.00630964175835636,0.0437682302732304,0.0251277859514994,0.0202818242484411,0.00884063518594329,0.559046054192948,0.706774910524174,0.377384584626114,0.126488964849876,0.185918431947262,0.0125174713441035,0.0126885193560765,0.000600687709834579,0.117400766259733,0.0658946929861652,0.267779906650314,0,0.266598976762382,0.640868850704852,0.0628891739328132,0.600701525245571,0.542856832361044,0.761735829627841,0.00917757410751817,0.657350200679967
