"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"58",682,"Askot Wildlife Sanctuary and Goriganga Basin","KBA",NA,NA,4,0.0132246418792294,0.6336206979171,0.443181821247094,0.141304306368148,0.0118343110697805,0.230603448275862,0.0417092271024855,0.291043908788731,0.0373083085374228,0.15655603953393,0.107127704104456,0.0908586663089016,0.0260975590732854,0.195823363773396,0.178355118746,0.126838076827078,0.75188473587678,0.295505802733261,0.180184895110732,0.180180866687689,0.098961498768174,0.567405739332117,0.159008945456471,0.932684548363196,0.000351362150868155,0.147972009138858,0.143084593256548,0.237292166091134,0.725783196214205,0.445929400031155,0.881062327902128,0.154346237435059,0.0415492977254428
"70",859,"Ayeyarwady Delta (including Meinmahla Kyun)","KBA",NA,NA,4,0.378480687197285,0.2887931006943,0.187499994380327,0.163043462431475,0.260355022186058,0.0197557471264368,0,0.00425373654726761,0.0565346761272602,0.0814190986280671,0,0.00716424017746818,0.0243167809918362,0.616689788299257,0.350248772894586,0.380475292895321,0.46049928134349,0.582629482568484,0.334778042961184,0.334710155436706,0.0185153096394558,0.552468844392405,0.303359570768251,0.75906678308277,0.0253036671129564,0.291309633383031,0.117776441642934,0.0907903611006459,0.462873051524916,0.380210338501384,0.79086786733212,0.231188550690069,0.618554208324693
"89",1258,"Balbalasang-Balbalan National Park","KBA",NA,NA,4,0.142913823727488,0.267241374536787,0.221590910623547,0.22826086127363,0.20710056282175,0.780890804597701,1,0.411915111224751,0.917601281757839,0.885385948495952,0.468508517139369,0.194532077891718,0.179548073815391,0.295480723454683,0.0624380319255348,0.153916825380499,0.714007684680255,0.484555922980689,0.471536091479611,0.471532122652078,0.0433809162994398,0.759169546726026,0.277316902095716,0.802273112323357,0.171655815766369,0.183665915778949,0.130132457260004,0.702609640183139,0.657704917462032,0.530440112418634,0.758655858928478,0.331475538338417,0.328869040719795
"98",676,"Banni Grassland and Chhari Dhand","KBA",NA,NA,4,0.0631748092058891,0.14655172083316,0.136363635001291,0.0652173988421549,0.0295857776744514,0.0190373563218391,0.0175348995573715,0.00151089003045025,0.00970473792629893,0.0286614979307819,0.0124953546657496,0.00124722895448282,0.0134879091445743,0.739315140976146,0.55778094087197,0.0108949702203062,0.165555608662425,0.30020845297285,0.00803889177235572,0.00802076848425487,1.53761856561504e-06,0.920614630286333,0.22743297432393,0.766577406293044,0.0974094058065075,0.499278031892207,0.0946855297883368,0.0106366822911054,0.890735273642664,0.47664270916865,0.628760053482929,0.00539508915716049,0.172778345370007
"109",665,"Belum-Temenggor","KBA",NA,NA,4,0.138238465707121,0.5775862013886,0.920454528765819,0.836956468220701,0.905325392341165,0.172413793103448,0.133469526727954,0.235257199972107,0.496452277409018,0.291393185361658,0.838524725665274,0.535267247457515,0.467618059173205,0.163288379291275,0.143327190335067,0.108828714142365,0.121974965528002,0.312391994875027,0.711399489882832,0.711343459426,0.451238094402455,0.84480690716646,0.0106640497274771,0.615503845837528,0.422748599536941,0.115532050252653,0.137130413251667,0.787533412898571,0.966577799781966,0.847383936862251,0.638828996430748,0.629713794643615,0.320967388490911
"111",292,"Betung Kerihun","IUCN",1,"II",4,0.512634177297851,0.482758614814507,0.687499979394531,0.793478225441872,0.733727762728757,0.189655172413793,0.0823970037453183,0.217358964226773,0.197528038452735,0.318529534807784,0.483114995383051,0.471758195609628,0.164599482063403,0.409048358636693,0.315816528047364,0.327019944915451,0.0240962134102757,0.0262664963092938,0.906109285491834,0.906109460167793,0.739178473170736,0.80794622474728,0.235204870684068,0.425603894087355,0.0134071566666853,0.0684723226018012,0.841088276645567,0.579422726828275,0.981138790078419,0.729376014630612,0.482667541802806,0.857346644614923,0.729555271977139
"113",677,"Bhal area","KBA",NA,NA,4,0.0750173109357079,0.187500002662177,0.221590910623547,0.0652173988421549,0.0355029332093417,0.0147270114942529,0.0153217568947906,0.00127844541038098,0,0.0376378457538479,0.0310626187235013,0.00410265024852815,0,0.192492741093739,0.135116231846113,0.169276782373133,0.178392424470703,0.684484527983345,0.00934087966155929,0.00932883177508489,2.21951271295819e-05,0.540997436283048,0.226991949149081,0.763714805592452,0.00122396424927045,0.31805270613989,0.0809911140537062,0.0280033195514048,0.441106456417501,0.719039773807122,0.81239236940368,0.00627908888764299,0.199342409279423
"119",1267,"Bintang Range","KBA",NA,NA,4,0.0730372256568092,0.609913801273577,0.926136363125484,0.815217381505199,1,0.165948275862069,0.132618318011576,0.116013109876572,0.624628061341268,0.274783031821257,0.678412126274967,0.546392190417023,0.924511153245527,0.0975427658595927,0.0575873310007583,0.0802776968939916,0.0869960615154746,0.676118487318025,0.572908614804525,0.572836820166648,0.353289936417081,0.709528186506283,0,0.502858817297641,0.0622761451161558,0.143109425094549,0.133030301429182,0.840449055767083,0.678973353710944,0.978172359355246,0.851409228785451,0.503720416997595,0.194999857049786
"146",294,"Bukit Baka -  Bukit Raya","IUCN",1,"II",4,0.042189479884749,0.398706901967877,0.545454540005165,0.09782606358932,0.520710044372116,0.154094827586207,0.0480081716036772,0.0393063852537133,0.0122224765392538,0.241765032813748,0.354396683976438,0.081115893767371,0.03228695368286,0.223157481644512,0.130929503595139,0.361220698892954,0.116328189746741,0.0861967672590251,0.962831935033465,0.962846856625752,0.875587039795823,0.844313806917829,0.286163865994899,0,0.071757647481625,0.0674503364547352,0.740851986647662,0.278519317990494,0.937249867168803,0.553883368097535,0.509734239512507,0.941310250001425,0.121851792484875
"147",295,"Bukit Barisan Selatan","IUCN",1,"II",4,0.106181541225014,0.581896563658034,0.670454536258717,0.380434745673441,0.449704118403137,0.216954022988506,0.0662240381341505,0.0474419469561377,0.128862439917601,0.357357477835138,0.508711414617092,0.147003441887363,0.0304701932675624,0.643620018966301,0.887141470840863,0.75166735008277,0.226145618299605,0.558104245884949,0.677527166064312,0.677398737467091,0.40008911111198,0.702665734769587,0.182892734861392,0.694720592320511,0.154128120146019,0.237587154483353,0.413809342806458,0.41735750438762,0.636722123746696,0.206595465028129,0.556751951026411,0.589737518255269,0.263061536755158
