"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"1",1351,"Abra Patricia - Alto Mayo","KBA",NA,NA,6,0.0477807775471555,0.831494485090708,0.799256503462155,0.629032258617759,0.696035236236217,0.0880257212374001,0.0262476894639556,0.340651785975485,0.0270206466462725,0.753215515871188,0.462675442146229,0.472137543203748,0.199420131825121,0.335555343517425,0.380975039318417,0.422940848370155,0.34716458109402,0.224501827296441,0.725627559591629,0.72570341722954,0.674175083665934,0.889362057155008,0.532098394103376,0.407636190652993,0.00634963872797824,0.461834043924079,0.291652248974623,0.652777991135834,0.826129826887831,0.691595059715831,0.564505308526995,0.732024862636121,0.58533176556622
"11",267,"Aguaro-Guariquito","IUCN",1,"II",6,0.0787803375142556,0.350050155362485,0.661710036154144,0.19354837935137,0.453744481868928,0.00490962808481057,0.00178681454097351,0.0351636778515636,0.00734780598644541,0.0753087361309023,0.12630424618444,0.0125584652179587,0.020544505812184,0.266443161154239,0.232271813299081,0.0602544486272502,0.26951328899317,0.323752108003836,0.112460894924179,0.112576335248509,0.0440548380848443,0.395721579628771,0.513046401320061,0.54828324276437,2.05357349906998e-05,0.104555638521535,0.294382946461932,0.212942711608466,0.443142911080146,0.789980392890782,0.904784817288621,0.0926753811548989,0.653061879245617
"22",307,"Alberto De Agostini","IUCN",1,"II",6,0.160086202017533,0.063189571807885,0.0594795465406089,0.0107527010810498,0,0.041970802919708,0.0280961182994455,0.0147587982330398,0.0379390732124765,0.094108548553012,0.0485171169386443,0.00268526101316526,0,0.410625949421474,0.707057931342479,0.108425082127954,0.998936346810847,0.0409459924276278,0.33412059198255,0.333511206101193,0.309524747339961,0.72876440889378,0.513460051415346,0.422020195500256,0,0.0992105014031355,0.293683514023497,0.0124844896913821,0.853891852429501,0.52333950448772,0.91050375235706,0.336532978773934,0.749577253856493
"30",740,"Alto Juruá","KBA",NA,NA,6,0.0725517517518786,0.502507520330852,0.747211883080665,0.736559132223957,0.669603536924062,0.00651720542231491,0.002969808995687,0.0066407278471755,0.0220040722780166,0.12118040555336,0.228190293123556,0.0988446183132409,0.0362286580337287,0.321254809656388,0.355121284633305,0.50416002426723,0.160023043612115,0.0474860846381353,0.929533094347525,0.929596723437397,0.711812711486418,0.932190546484792,0.57975977030432,0.399549135302476,0,0.0988990157987498,0.292336995060546,0.373608051235213,0.94104674234078,0.726642151433873,0.912067125127614,0.885433303071325,0.641881679944341
"31",335,"Alto Purus","IUCN",1,"II",6,0.340660636278582,0.52256770280114,0.855018586923205,0.693548396501908,0.726872263101865,0.0169881821341675,0.0168823166974738,0.0105900593862446,0.0035607841594287,0.141050060747551,0.348330328525855,0.103755436383873,0.038039258192218,0.473700347667491,0.538786279279299,0.536860245008458,0.190388771499125,0.0258520045326979,0.919711524602636,0.919778029928872,0.672483001482576,0.917240579480799,0.514276634745072,0.40708508196698,0.000203251120677183,0.215744175916187,0.292336715507586,0.412457739828324,0.989212034842751,0.635765584094174,0.801699599292268,0.865124028317525,0.852696680079899
"32",766,"Alto Rio Juruena","KBA",NA,NA,6,0.123165081688137,0.525576737109897,0.557620815000829,0.381720442463291,0.78854627249836,0.00152068126520681,0.00133086876155268,7.31357692420206e-06,0.0110856457118126,0.0753570298654674,0.0998594806680337,0.0193183427943462,0.043857844769136,0.404840568036995,0.574342087174014,0.410932674007413,0.0987845003987528,0.180736472419315,0.397889863432227,0.397995394220714,0.0949587194954465,0.476915497374161,0.78861106610352,0.215014764354228,8.17216941168363e-14,0.229662186206349,0.325605704262124,0.286133963707802,0.408867890062493,0.670920700533746,0.757397482392159,0.30680690689389,0.71384182294139
"53",1016,"Área Natural de Manejo Integrado San Matías","KBA",NA,NA,6,0.443620498624205,0.433299899728922,0.591078061155526,0.327957005660192,0.762114528851404,0.0028241223496698,0.00915588416512631,0.0289471374659919,0.00365914836272784,0.0418252502783316,0.0972530590200175,0.017858257934271,0.0260357509925294,0.297223857881188,0.395701731545147,0.177995634249338,0.0719184471597138,0.161078238245697,0.338833963760577,0.338915404379657,0.0333647072713446,0.291296338929315,0.514309300555218,0.225958705973468,2.93818977559244e-08,0.107706888917136,0.306572325894118,0.2648338233723,0.481175874735077,0.795450263062841,0.890339100820953,0.244907880080322,0.888801129374591
"62",697,"Atitlan","KBA",NA,NA,6,0.0369904537435993,0.30992979042191,0.54646838654282,0.38709675870274,0.621145377183644,0.0563086548488008,0.0369685767097967,0.306277974431735,0.170435655056412,0.335544639459048,0.560493167249127,0.435331693265711,0.491774644665392,0.303309719181612,0.406450815170369,0.329770900054382,0.379358375003152,0.869696789527281,0.306914010793227,0.307028063349403,0.113797780869967,0.862639944564815,0.412982980170199,0.467571750555348,0.172552661154286,0.353743918009381,0.255469112525175,0.513965463112194,0.457183328491783,0.686442990056799,0.543827205208491,0.250633803075745,0.550831679671392
"66",761,"Aurora do Tocantins / Taguatinga","KBA",NA,NA,6,0.0498048177487334,0.29287864226038,0.472118948464643,0.236559149374494,0.581497783880611,0.00360618700034758,0.00628465804066543,0.00239885323113829,0.00519362993419435,0.0322156548194949,0.124742676142884,0.0204116990394339,0.0473453407806843,0.358959827412466,0.384414348731704,0.356060290373717,0.150099438210466,0.371991494348094,0.302732038179817,0.302848140109962,0.0879552220168137,0.333232714692169,0.680656807222153,0.507046772094674,3.15934384472305e-05,0.406310141491117,0.295569403977873,0.19763359648698,0.25737633293533,0.710655783624033,0.619124002263556,0.238853779615371,0.590936237905412
"72",499,"Azul Meámbar","IUCN",1,"II",6,0.00358194661595351,0.291875634128039,0.524163568846133,0.161290310409296,0.409691649682004,0.0397984011122697,0.00734442390634627,0.155618289793172,0.0596775621415854,0.218604815724812,0.365144560242371,0.283717030649956,0.453768456430883,0.411509901147619,0.324109645755895,0.286002630651233,0.439160617909382,0.525869828506179,0.325469073938333,0.325553388798501,0.0832386554489581,0.834724630729385,0.133407569327939,0.791650659136566,0.318273825933592,0,0.306001515016865,0.346589958350851,0.854618575966808,0.568243594104992,0.692328681513054,0.252879727877991,0.252240421435224
"81",337,"Bahuaja - Sonene","IUCN",1,"II",6,0.148048192417375,0.910732196927782,0.962825271156079,0.672042994339808,0.779735706060975,0.0428397636426833,0.0163894023413432,0.0383085159289705,0.0341028692838102,0.395636914358045,0.450693270807211,0.143387780319689,0.064084407228902,0.135546416361703,0.181469437263527,0.170441904126227,0.196161887039161,0.147287050418138,0.733366249629357,0.733434971463354,0.43207160938723,0.785729018497314,0.526046858636458,0.395822079135789,0.00245736923586404,0.297897640671869,0.293131943945352,0.546866770028825,0.812536828008796,0.87328524002879,0.72135979939145,0.653972316868854,0.738917632821732
"84",746,"Baixada Maranhense","KBA",NA,NA,6,0.27777338158833,0.444332999096407,0.524163568846133,0.247311816154469,0.643171793277106,0.00377997914494265,0.00141712877387554,0.0263873855425211,0.0028328890550151,0.0616118988812906,0.0866882169125236,0.0110947270529564,0.0249983907748846,0.305433604704123,0.230737695986006,0.187202346968517,0.124335015591056,0.489240441022839,0.276494538788687,0.276494635492651,0.0550867190885997,0.894249865961661,0.546783635451293,0.477742464688936,2.8644717525489e-07,0.187832006435237,0.30106049503229,0.230474277041724,0.642901157148908,0.809435238473294,0.819984178484337,0.209421502291297,0.824808137106933
"85",754,"Baixo Rio Xingu","KBA",NA,NA,6,0.0840562528746004,0.478435305331201,0.617100361541438,0.419354827644814,0.810572688591822,0.00152068126520681,0.00199630314232902,0.00274259134657578,0.00320667302755181,0.0818547471731017,0.120509838872408,0.0293150431070371,0.0528849336613819,0.546610776271696,0.696460158271447,0.65780506410313,0.0919377917872568,0.053268181225806,0.688180843394468,0.68802389188785,0.342292313847885,0.839091651082834,0.893816027117916,0.498610706913401,1.57967192236153e-09,0.119594725615311,0.294958694093343,0.300918851873071,0.665447440127116,0.548992513385275,0.890080572579627,0.591850848941746,0.661866623036049
"86",1010,"Bajo Río Beni, Región Tacana","KBA",NA,NA,6,0.0651223542244067,0.524573719065821,0.657992553464919,0.462365597667939,0.687224669798832,0.00308481056656239,0.00521256931608133,0.0052511482315771,0.00105249697530075,0.10604580573448,0.167783667692589,0.0443409342436445,0.0279598828558857,0.334926161522747,0.458068093361629,0.433121713076112,0.151144613149954,0.176021663853024,0.418388465275931,0.418395632737024,0.152827312083262,0.558452704240516,0.541482095679168,0.370398396420193,0,0.0973832448806297,0.292570982398861,0.310463191495884,0.631370382486649,0.728317595949963,0.913275749992639,0.340822437538854,0.627230095138363
"87",1059,"Bajos Submeridionales","KBA",NA,NA,6,0.209196475468845,0.236710137290616,0.208178442306629,0.220430097752919,0.321585896638553,0.00417101147028154,0.00263709180529883,0.00459292630839891,0.00291158041765441,0.0257214463315232,0.0274409142220385,0.0172378758624127,0.010100028695341,0.446320416597868,0.733543578944015,0.58130853908997,0.171112874974056,0.285420278783596,0.107834705077755,0.107968540687788,0.00767497537973699,0.210766908659521,0.616569477888489,0.339738611364036,1.08470805335491e-07,0.303896408647108,0.107556329947812,0.100942158543379,0.276192507018308,0.614714543332721,0.893004179310384,0.0769659598611298,0.786085962329624
"88",773,"Bakhuys mountains","KBA",NA,NA,6,0.0757529028325469,0.485456372169322,0.710037173846409,0.478494614988438,0.696035236236217,0.00351929092805005,0.00157732593961799,0.0193663516952871,0.00194761122532288,0.109203081312458,0.179684642464212,0.0951027638541291,0.0338567367333158,0.286094824688417,0.274234613358587,0.139858821701536,0.0466250700896417,0.014186955825055,0.983611364284125,0.983663423734928,0.864824018002116,0.899235987847858,0.513339504885422,0.495213477261006,0,0.0993938742681926,0.292337162792321,0.326249516206422,0.985606399179033,0.825892584586871,0.911600352900962,0.975375595482641,0.647741567863414
"92",1042,"Bañado La Estrella Este","KBA",NA,NA,6,0.0363365481473649,0.236710137290616,0.29368028923315,0.20430108043242,0.440528632212851,0.00325860271115745,0.0040418977202711,0.00453441769300529,0.0033443829121706,0.0296521461318641,0.10180465469317,0.017484046177333,0.0151090585101137,0.585678094387997,0.75110250311453,0.460076384832729,0.153533091838776,0.202676537992042,0.319596439944239,0.319698898338509,0.116309833091234,0.54076654775776,0.550678483959244,0.902266312099616,0,0.172993159560406,0.236938371889698,0.136408964827318,0.595638863147009,0.422706701520834,0.894438664748924,0.260230625574138,0.548433137947524
"93",1043,"Bañado La Estrella Oeste","KBA",NA,NA,6,0.0265931848330865,0.223671011746715,0.297397771922375,0.198924729891895,0.414096932900697,0.00360618700034758,0.00410351201478743,0.0045417312699295,0.0225942574978114,0.0302812906549999,0.122071040393734,0.0162529587169301,0.02141954845783,0.667452837541108,0.75296020752988,0.617084161991906,0.177296025459708,0.200008770933799,0.292669754797963,0.292778823169677,0.0981077223281659,0.507989210893515,0.565761404812607,0.778984675631285,1.4111735839763e-06,0.153951362373003,0.202540194687421,0.136995669184052,0.565476849603509,0.405627235222649,0.94482718374059,0.235416974870173,0.506592064794216
"94",1053,"Bañados del Río Atuel","KBA",NA,NA,6,0.150304989946003,0.124373117439353,0.133828984618786,0.0215053678610244,0.149779762439946,0.00886339937434828,0.00899568699938386,0.00522920750080449,0.0294797517287509,0.00388765592838763,0.0727750710668035,0.00180911348938429,0.0185116120814304,0.638608441683612,0.839662457652531,0.376950837858367,0.312859015874858,0.191117598248431,0.0154274688677668,0.0155859236098051,2.13650424863549e-05,0.496188565889233,0.513105016869933,0.494318244000895,1.67445223770322e-05,0.104950113866806,1,0.0355724348114715,0.598678541320411,0.511646121435741,0.239072976309184,0.0106883788914531,0.740980238127483
"103",747,"Barragem de Boa Esperança","KBA",NA,NA,6,0.0375222657035883,0.272818459790092,0.405204456155249,0.177419362030871,0.458149765087621,0.000521376433785193,0,0.00098001930784308,0.00288207115666467,0.0323979132369256,0.0616013920630008,0.0109925988268663,0.0213004482075635,0.169743532013029,0.17648509889842,0.339574179047661,0.0944475268913143,0.443924529372572,0.340352855782711,0.340450276728936,0.0883416604682308,0.760219860966407,0.507282062067423,0.629260928987265,0,0.133648249927599,0.305400776861959,0.148089211867419,0.610056127545092,0.773437091201867,0.86698307128604,0.264893674920575,0.552751872206389
"110",309,"Bernardo O'Higgins","IUCN",1,"II",6,0.52579965309887,0.0742226711753696,0.118959112690883,0.0376344194825992,0.0308370268656483,0.0343239485575252,0.0537276648182378,0.470102097533862,0.13994275203368,0.0541906327199241,0.0250424705941235,0.0138149588202388,0.00300209539288234,0.206547000927754,0.612180807984709,0.181397942085168,0.905735657153372,0.0560530173476089,0.354444395929261,0.353563581850867,0.358665525853972,0.640986716666574,0.51264334481277,0.742152690282905,9.97299540317577e-07,0.0992574507559852,0.2951827263241,0.0975717627305176,0.785770430673634,0.4863781792358,0.909044898608115,0.367362643415093,0.912044134835437
"112",1265,"Between Balsa Puerto and Moyabamba","KBA",NA,NA,6,0.0301336618974239,0.77031093945924,0.765799257307458,0.650537626478784,0.71806169666448,0.0615224191866528,0.00991990141712877,0.25288886288506,0.0202335166186321,0.541081326063993,0.385371318101772,0.40773492826556,0.117832189529553,0.317672515689243,0.313955109110374,0.331548316354412,0.264953909561951,0.217602626040256,0.720702246542209,0.720782342037367,0.582806945962866,0.920387896608403,0.565872022358484,0.468660924809446,0.00572585787927612,0.482963914808516,0.292288656576081,0.571641850490167,0.828900529649496,0.728294883846424,0.544569534067362,0.697166552500585,0.523310904248795
"117",917,"Big Cypress Swamp Watershed","KBA",NA,NA,6,0.0661429700528225,0.0712136467783471,0.118959112690883,0.107526873606197,0.224669621492519,0.00908063955509211,0.0309303758471966,0.00883480092443612,0.0284961096957595,0.00699505018379869,0.045490559071388,0.0258880736703112,0.0388348933763144,0.297463774364744,0.466615585326666,0.460890339576153,0.419392183119971,0.25434533066925,0.155193033207216,0.155295743659981,0.0200679968795253,0.501463612397744,0.51389895818556,0.259732533956939,0.087481641316197,0.127983247605659,0.406020114959702,0.0535028628726752,0.559470333491379,0.651544988111927,0.694959758097594,0.113843842364735,0.629338162053235
"134",701,"Bosawas","KBA",NA,NA,6,0.104591525986824,0.371113345965113,0.527881031925692,0.268817218316568,0.559471367787149,0.0346280848105666,0.00703635243376463,0.0535207559313109,0.102564354780008,0.208226979097972,0.2579073951342,0.117250083795571,0.113172558528087,0.562608838347647,0.576903796205312,0.687809891654153,0.410004384132069,0.308955395820535,0.499233968996196,0.49932886095143,0.0429947357995408,0.930771961928515,0.681992002562359,0.612882905751725,0.00276784848663112,0.0889979749318429,0.305330353693684,0.301191360854632,0.697361163498726,0.45646953870781,0.906541432055879,0.358712707607596,0.691587293964945
"135",1352,"Bosques Secos del Valle del Río Chicamocha","KBA",NA,NA,6,0.0447988281154138,0.629889672078963,0.706319691157184,0.424731178185339,0.691629953017524,0.0797705943691345,0.0131854590264941,0.35820437059357,0.111417133076931,0.452480458988073,0.396993362650292,0.41666353686413,0.189442120957601,0.110976496320343,0.158846513938876,0.189119298434316,0.221415295560969,0.542751555756734,0.44277697598344,0.442880364998491,0.425032973810674,0.669187024682833,0.513093471453401,0.398881577174766,0.00259846553196937,0.207041749569453,0.189264248811708,0.541658354774753,0.479462759672481,0.872978833590882,0.904836354517683,0.451402099236862,0.576633125155422
"156",27,"Calakmul","IUCN",1,"Ia",6,0.0330747119407265,0.239719161687639,0.420074347692818,0.107526873606197,0.414096932900697,0.0252433090024331,0.00757855822550832,0.0113214170786648,0.0256435478000846,0.13106711028179,0.202232150780747,0.0332994633617502,0.134816760070025,0.166604187485966,0.26270623397777,0.0909810370827047,0.362388579501242,0.237449626321706,0.409937721526217,0.410042931453909,0.0320542935802832,1,0.563714233993407,0.523240596764861,0.00649384171219755,0.0958635680713222,0.29236406032033,0.188188124522599,0.870228614560907,0.786402943441693,0.90878060096287,0.29344106625324,0.535797924633027
