"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"3",1116,"Abyy lowland","KBA",NA,NA,8,0.0367324542856785,0.144112471957654,0.11711711840151,0.033333372322221,0,0.0632075471698113,0.00647420929738909,0.000271369464239143,NA,0.0135986466618946,0.00963171540814314,0.00186907182240233,NA,0.380396683683877,0.26332020927397,0.198457879354759,1,0.0646734385323135,0.045497981778877,0.0403200307304674,0.00992455175949416,0.963532831630683,0.351968202546608,0.312318098301904,0,0.476170790253297,0.741473292689523,0.0289395151739324,0.954835850897456,0.589264950192906,0.4818072246688,0.0347108868676739,0.749021492297987
"5",10,"Addax Sanctuary","IUCN",1,"Ia",8,0.039859879152023,0.091388389226522,0.126126129337107,0.066666638311112,0.277777793308642,0.0773584905660377,0.0254722988749735,0.000866972574062718,0.00491760567967173,0.0223717116003752,0.0270179091876799,0.00312673174474615,0.040844307978081,0.760948203608195,0.444574018100549,0.566719251626526,0.0458562222211428,0.00267447985108359,0.0912845660754046,0.091287053280083,0,0.642798882976305,0.349502782746741,0.31536333274422,0,0.476170790253297,0.741473292689523,0.0687128029055539,0.789005270075006,0.59460319829714,0.4818072246688,0.066190234960721,0.755227924519996
"7",1232,"Adjara-Imereti Ridge","KBA",NA,NA,8,0.0081484381113623,0.34622142970936,0.346846837856099,0.200000021266666,0.347222189219136,0.0990566037735849,0.138187221396731,0.0397515148524854,0.109837382487679,0.0645460110881856,0.216041265507349,0.109744565524263,0.202976491129328,0.000778523709424498,0,0.0376450891422535,0.24801630076718,0.472607556237766,0.805245978399742,0.805254101958514,0.383824049713576,0.811284259709824,0.328477017723783,0.194887202387605,0.000131320064407911,0.330867432237048,0.75017207816471,0.264159394298012,0.607545831626505,0.978041281975939,0.57813183899036,0.723030135917576,0.634650711851221
"8",898,"Adovo-Chugrumski wetland","KBA",NA,NA,8,0.0076614676873237,0.272407734726548,0.184684688537862,0.0833333244722225,0.0347221979552468,0.00207547169811321,0.001836128210571,0.000244349993773774,0.00101500249679759,0.0284590420035728,0.0175292333087041,0.00414086484219207,0.00256855852846991,0.366979772929723,0.582666700453469,0.373157790137847,0.603795982193187,0.145669204460144,0.603448312433332,0.596406639098606,0.360388874473819,0.841961625281474,0.349816087678509,0.2913317423825,0,0.47493374391693,0.742087066116929,0.051144926523007,0.825148536921393,0.571870675766627,0.482247138875308,0.565656950428047,0.629970925966315
"9",1094,"Aginskiye lakes","KBA",NA,NA,8,0.00626586316302595,0.36028118857779,0.274774774132579,0.066666638311112,0.0486110771373455,0.0641509433962264,0.0158140522182127,0.000960953340898785,0.00263792092750602,0.0591972939906061,0.0453046188211322,0.00308769370740627,0.00219359141887851,0.208686707936739,0.287876070205068,0.117725431496834,0.610412117964985,0.332884582834877,0.0773080418309429,0.0772890403204283,0.000997846145366776,0.318082678286228,0.495432365355641,0.341581146535991,0,0.492911068253505,0.775859862559758,0.092832803369712,0.270775979914362,0.744875874249656,0.445721223835487,0.0564099989856834,0.614700372799524
"10",901,"Agriculture lands of south and east of Novouzensk","KBA",NA,NA,8,0.00636847406783766,0.254833040482838,0.198198193060628,0.066666638311112,0.111111103345679,0.0152830188679245,0.0110379961791552,0.00160707111289675,0.00402201524132091,0.0397351124910251,0.0330284909752285,0.00665955934660297,0.0109074426972347,0.387945582490538,0.624390408659464,0.276346965753621,0.254232387363856,0.345596709748513,0.04912552154961,0.0491150905624827,2.54036849992157e-05,0.400413117899581,0.774921104651507,0.682886576800993,0,0.479049732418996,0.835354535753218,0.067257477671751,0.134970020914383,0.528156178364928,0.413512614884378,0.0356257489374563,0.615933873712143
"12",587,"Aguelhok","KBA",NA,NA,8,0.0263295516463862,0.0579964857940518,0.121621611988678,0.033333372322221,0.250000034944445,0.069811320754717,0.0440458501379749,0.000514544698427467,0.00499902299224907,0.0125506822696445,0.0467353726548707,0.00213785429401994,0.0409795043061429,0.482481045284338,0.427712512148519,0.202840216699243,0.00542004734628087,0.0182320483961245,0.0221981364565492,0.0221700195925297,1.70643442538878e-05,0.502997742003706,0.349739746736817,0.340661786341694,0,0.476170790253297,0.741473292689523,0.0580837411452694,0.688320195004258,0.77393234925015,0.4818072246688,0.0160915928608691,0.723730421136466
"16",1148,"Aksu River basin","KBA",NA,NA,8,0.0341346566724186,0.247803152364967,0.18918918212503,0,0.180555569145062,0.0669811320754717,0.029080874548928,NA,0.243633166156451,0.054599786259024,0.0484539058452003,NA,0.0404877270490913,0.379379227674994,0.428058938647398,0.297977058947297,0.262194550060817,0.339549664180231,0.0132603407266375,0.013224339394743,7.66489369217701e-05,0.830405603935326,0.623676879695109,0.303933882199123,0.00985450194956851,0.477199970772316,0.773526208693241,0.143457233328784,0.514997998454418,0.720688533587307,0.451502009448462,0.00962964899716879,0.743450245826195
"17",724,"Aktau cliff faces","KBA",NA,NA,8,0.00698284986318122,0.138840068894734,0.144144151208303,0,0.180555569145062,0.0180188679245283,0.0135852260666525,NA,0.0055689441802905,0.0234218516600178,0.0294053509021069,NA,0.0360300980330321,0.201792583697065,0.304304708512771,0.264982797512343,0.153478818694472,0.216622979815783,0.0187928468368982,0.0187703536062188,1.16511660802445e-05,0.282219014365846,0.356957881692334,0.356250774001497,0,0.475888778681038,0.81689509848095,0.0611376931383663,0.412407079416736,0.820344438505332,0.428772570866578,0.0136225349011357,0.622927660076922
"18",229,"Al Wusta Wildlife Reserve","IUCN",1,"II",8,0.00885363908462734,0.0562390007391007,0.108108107465912,0.0166666861611105,0.284722232899691,0.224528301886792,0.0244109530885162,0.0148466116409277,0.26290193013309,0.0930096909765128,0.0332850993845757,0.00209688107794539,0.259930260189153,0.460442045399378,0.460097946396587,0.200917600126911,0.51792978926799,0.0738876451424374,0.00416818423627911,0.00410333736112612,0,0.659318622558617,0.349530288453087,0.293563396653548,0,0.476258438057117,0.741469300444447,0.151482352548308,0.753595666688916,0.650320978898316,0.481748179476533,0.00299879006357991,0.640954226579829
