"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"18",199,"Ai-Ais Hot Springs",NA,1,"II",3,0.21427331783787,0.538157669218283,0.826762469621058,0.79724441566786,0.26300476609192,0.080265920414799
"24",963,"Al-Habrow al-Arabi","KBA",NA,NA,3,0.0649654562489072,0.502304841438715,0.203507208431399,0.665486610016299,0.148292538794762,0.0100756006364172
"26",288,"Alatish",NA,1,"II",3,0.101196774005065,0.507930752940456,0.693142159753373,0.659204527315711,0.140519575863707,0.189337320313958
"40",1259,"Amatole - Katberg Mountain","KBA",NA,NA,3,0.264922514203751,0.223807934877424,0.874427320662006,0.82660489035104,0.178148481122607,0.160176700747604
"41",865,"Amersfoort - Bethal - Carolina District","KBA",NA,NA,3,0.246565895850436,0.332417347562955,0.452429842104936,0.982626542981467,0.203724685362256,0.0379992064123671
"43",560,"André Félix National Park complex","KBA",NA,NA,3,0.121477857714967,0.47071447068187,0.554998929365769,0.757022660465791,0.358199747382411,0.304984203577991
"49",1304,"Ankeniheny Zahamena Corridor NPA (CAZ)","KBA",NA,NA,3,0.989540628800408,0.536263173835791,0.795897243958788,0.419886627460507,0.252488150229442,0.381531033484196
"80",291,"Babile Elephant",NA,1,"II",3,0.222783658185254,0.656864930117068,0.302805085329142,0.687444250512373,0.438975370409737,0.357262917128837
"82",241,"Badingilo",NA,1,"II",3,0.238184111991301,0.26598614483242,0.672794330383472,0.651814959739736,0.443377984465797,0.0837020689212048
"83",242,"Badingilo Extension",NA,1,"II",3,0.197420565971433,0.333865798771814,0.64588012662948,0.642468493339823,0.406899682045649,0.0711816379783124
"85",571,"Bahir Dar - Lake Tana","KBA",NA,NA,3,0.206407175593189,0.584235536793197,0.523234977968325,0.622748939046668,0.23960420286751,0.152515840837964
"97",289,"Bale Mountains",NA,1,"II",3,0.455608216487069,0.876398657583657,0.720365076332124,0.717345445368883,0.105102290442738,0.304245918589516
"98",488,"Bamingui-Bangoran",NA,1,"II",3,0.202244716578809,0.563498162858937,0.975831887456083,0.790694296789096,0.499515455272104,0.183773724116446
"100",629,"Bangweulu Swamps","KBA",NA,NA,3,0.253392108201347,0.689293082680779,0.748704014232659,0.766427696906396,0.532656480037625,0.148390495427467
"105",625,"Barotse Floodplains","KBA",NA,NA,3,0.260714771489787,0.587163037511431,0.733467795167812,0.7581047289964,0.385457420377041,0.142004869038701
"106",645,"Barr al Hikman","KBA",NA,NA,3,0.0682326475173829,0.690058177132177,0.384621416026884,0.796730469246089,0.152905436859395,0
"109",478,"Bassin de la Lufira",NA,1,"II",3,0.402868791034569,0.693391286187713,0.743853648790909,0.783374901157719,0.83812190109948,0.237165595446896
"119",1003,"Bidia - Bezavona Classified Forest","KBA",NA,NA,3,0.655405456320265,0.527623658707022,0.611309165356671,0.456171844828628,0.168556337277777,0.357905847437403
"128",576,"Bogol Manyo - Dolo","KBA",NA,NA,3,0.172805007108371,0.565764935632844,0.613886665105138,0.910497528706,0.262853253512563,0.177930583100009
"131",240,"Boma",NA,1,"II",3,0.223474619288593,0.395420393133514,0.546654366175034,0.633561773963363,0.641533122088218,0.100335242187054
"132",243,"Boma Extension",NA,1,"II",3,0.186671153579436,0.455183282285544,0.584648395241564,0.63578040495504,0.292668969972204,0.111010150512633
"133",556,"Bombo-Lumene Game Reserve","KBA",NA,NA,3,0.236680509201908,0.64257308223421,0.283913397727531,0.764772363625483,0.198376264196918,0.110410615333119
"134",162,"Bomu",NA,1,"Ib",3,0.266468009942742,0.725408020455098,0.0681383109658375,0.800993960196748,0.365605092543266,0.466487667089082
"136",999,"Boni and Dodori National Reserves","KBA",NA,NA,3,0.238210580806686,0.545990993712856,0.298847722139776,0.79352327582959,0.0858642947692133,0.229416843003551
"141",489,"Bouba Ndjida",NA,1,"II",3,0.161278756750837,0.5261475570902,0.965210587126854,0.689171331105251,0.0833547185349432,0.115085113772719
"142",173,"Boucle de la Pendjari",NA,1,"II",3,0.161065130099253,0.515394334543451,0.92863482297902,0.687734933528792,0.155732590027203,0.0835919296114908
"143",588,"Boucle du Baoulé","KBA",NA,NA,3,0.109436054632903,0.485894839818209,0.674079721664809,0.581464889723066,0.238207126070408,0.14615447562151
"144",482,"Boumba Bek",NA,1,"II",3,0.337932476840813,0.824780267476019,0.561019326877296,0.778669858267497,0.111147729951034,0.983739808082095
"147",561,"Bozoum","KBA",NA,NA,3,0.185600490076731,0.714489036615495,0.639802627388122,0.797186245903643,0.208651851462093,0.20498059871138
"157",615,"Burigi - Biharamulo Game Reserves","KBA",NA,NA,3,0.266297933824818,0.647329295331847,0.467993351061915,0.530730212817095,0.229456962039163,0.186772840246945
"162",491,"Campo-Ma'an",NA,1,"II",3,0.416798281622131,0.717704370293264,0.469377156131151,0.645130157863578,0.135921186553721,0.763004977491099
"181",1271,"Cedarberg - Koue Bokkeveld complex","KBA",NA,NA,3,0.34864614334219,0.195120168663128,0.458173000491342,0.838884638419678,0.400058382065953,0.137059462060928
"182",606,"Ceel Hammure","KBA",NA,NA,3,0.0643698972412708,0.613849241842195,0.456190971934824,0.800991222645241,0.124801512201023,0.133209963361752
"186",67,"Central Kalahari",NA,1,"Ib",3,0.114771647838461,0.5545538043319,0.570461772392009,0.80333932935288,0.883926677922197,0.0425092463826083
"196",1242,"Cestos - Senkwen","KBA",NA,NA,3,0.262931771100269,0.556348700260657,0.629356648057961,0.557030041490662,0.209464139712539,0.571576134712329
"197",1245,"Cestos Gbi","KBA",NA,NA,3,0.346547825961874,0.621933804772199,0.640088878983305,0.581343475779017,0.184027061561901,0.64238304987306
"200",1346,"Chad Basin National Park: Chingurmi - Duguma Sect*","KBA",NA,NA,3,0.116697721904881,0.506293360859743,0.493558079000826,0.682460495492424,0.345246779799464,0.150011619812989
"209",66,"Chobe",NA,1,"Ib",3,0.254749312745067,0.423253834745277,0.374418577908242,0.782098662120808,0.483445743555255,0.124043341227834
"219",516,"Cliff of Bandiagara (Land of the Dogons)",NA,1,"Not Applicable",3,0.11024888986739,0.469841000961385,0.860010544725941,0.629938794764579,0.195399169784892,0.0308343086027442
"223",437,"Comoe National Park",NA,1,"II",3,0.256597915046441,0.576372860706316,0.772916132146836,0.764187497102048,0.506181313733602,0.147391331118672
"226",565,"Conkouati National Park","KBA",NA,NA,3,0.27194654130052,0.720486523869938,0.463442330738629,0.714195804376244,0.181612642919524,0.690373333469279
