"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"54",799,"South-west Slopes of NSW","KBA",NA,NA,1,0.265784291603668,0.405445303779896,0.681496913159654,0.838596674969129,1,0.391862400619715
"60",36,"Great Victoria Desert",NA,1,"Ia",1,0.014044852495809,0.626409134194524,0.656332870352476,0.760396219757808,0.987943030134691,0.00782312497397845
"64",297,"Lorentz",NA,1,"II",1,1,0.888390132246428,0.271772722189679,0.630913781623136,0.968044545573084,0.833984547209211
"81",31,"Mamungari",NA,1,"Ia",1,0.0458136709264801,0.626998566432638,0.695930710356073,0.760396219757808,0.934768067502985,0.00608580931116934
"97",364,"Kakadu",NA,1,"II",1,0.303755662349939,0.673582330481223,0.88944162096097,0.777781675714329,0.897883719704921,0.167473708231955
"104",40,"Gibson Desert",NA,1,"Ia",1,0.0201446913960006,0.628950895151778,0.447774014058742,0.760393486880767,0.884741804853816,0.00392589529687401
"117",365,"Watarru",NA,1,"II",1,0.0213881595125634,0.625355808372379,0.466199734328985,0.760396219757808,0.848523907606986,0.00571733599798234
"155",780,"Gregory National Park","KBA",NA,NA,1,0.22496524403098,0.720829474361558,0.579839751342655,0.769645028740743,0.763255159905739,0.0238867439891113
"156",401,"Karlamilyi",NA,1,"II",1,0.0424802412330276,0.635838981650648,0.695738198476577,0.760045268933585,0.761728141877521,0.00272978200930427
"163",163,"Fiordland National Park",NA,1,"II",1,0.296963315644041,0.681186717497101,0.196761753279475,0.880073210387215,0.75727857810187,0.435646496286447
"199",779,"Riverina Plains","KBA",NA,NA,1,0.112056429352101,0.395467208237986,0.655399878066563,0.740412970560716,0.699818683859826,0.117144653702129
"202",366,"Walalkara",NA,1,"II",1,0.0194075513156859,0.638061450145631,0.481193882882081,0.764895589836852,0.698936351446154,0.00519886184899842
"216",389,"Munga-Thirri",NA,1,"II",1,0.180836126597013,0.677195717714792,0.564550955503228,0.774663368959104,0.681285290844273,0.00779821321232248
"229",794,"Lake Eyre","KBA",NA,NA,1,0.0406332693171038,0.822034368492213,0.483453828328453,0.84554661175211,0.65975616977594,4.80481568079191e-05
"231",776,"Bulloo Floodplain","KBA",NA,NA,1,0.0607002153399547,0.600701525245571,0.542856832361044,0.848679863109781,0.657350200679967,0.00917757410751817
"246",129,"Nullarbor",NA,1,"Ib",1,0.00895724460469951,0.617790739733361,0.673960383724825,0.760402648722763,0.639698653505876,0.0142144548803994
"249",535,"Wet Tropics of Queensland",NA,1,"Not Applicable",1,0.801044715042521,0.819619870497888,0.811526162504048,0.875883640744343,0.638262216197784,0.260299026742258
"255",781,"Gulf Plains","KBA",NA,NA,1,0.151173154093173,0.634380998047977,0.740959518698411,0.925925842228337,0.633911160540572,0.0463272439735566
"283",796,"Southern NSW Mallee","KBA",NA,NA,1,0.101779965291505,0.54002600337441,0.47714211097915,0.77548872483986,0.612874933422394,0.0533628529700615
"301",43,"Dundas",NA,1,"Ia",1,0.0587581232166625,0.652547880207842,0.562289710066541,0.748325137970298,0.59340625702268,0.202102909896166
"319",771,"Tiwi Islands","KBA",NA,NA,1,0.180632468711733,0.667592755684654,0.421108561934166,0.766095832085848,0.578111624370263,0.213547960168622
"326",38,"Neale Junction",NA,1,"Ia",1,0,0.628430883992998,0.392291859562701,0.760396219757808,0.566258362011746,0.00604238932460398
"336",33,"Simpson Desert",NA,1,"Ia",1,0.12417432043362,0.705935869454723,0.497957586616392,0.770845991343186,0.549505864669528,0
"338",374,"Kosciuszko",NA,1,"II",1,0.312988489679479,0.721152584902285,0.854831626255577,0.868045683165663,0.5483779043273,0.625501650876841
"347",362,"Kalamurina",NA,1,"II",1,0.0554292460113602,0.715215749028124,0.500399185547015,0.766946612138905,0.542902781048001,0.00229805238413899
"358",394,"Murray - Sunset",NA,1,"II",1,0.107813081587684,0.588823220845267,0.583883650380585,0.728888401475268,0.536861953391192,0.0974465791615447
"362",354,"Alpine",NA,1,"II",1,0.3306276380023,0.848446309454827,1,0.824677372857996,0.535022414813816,0.837242898709357
"372",392,"Southwest",NA,1,"II",1,0.179899888596156,0.779686385606524,0.514515573214796,0.769532671225956,0.523793728390833,1
"381",398,"Karijini",NA,1,"II",1,0.0951571695992869,0.644346194624241,0.584740455194545,0.782441979544387,0.515912946272847,0.00972195352813829
"390",35,"Nuytsland",NA,1,"Ia",1,0.0612567212536723,0.646053520938076,0.768576606677678,0.758092916836907,0.505818981721718,0.10632767548783
"395",786,"Iron and McIlwraith Ranges","KBA",NA,NA,1,0.381223019246277,0.786895318010174,0.873355875585202,0.907837979274176,0.503097021766114,0.29982583348079
"405",804,"Lake Torrens","KBA",NA,NA,1,0.0861275600734956,0.710958353276003,0.61149300556182,0.855541928642692,0.496844705760686,0.00619440780133111
"409",396,"Prince Regent",NA,1,"II",1,0.24954765041879,0.744253580792022,0.860177484745324,0.766561369073965,0.493917341105835,0.116619001578859
"442",388,"Rinyirru (Lakefield) (Cape York Peninsula Aboriginal Land)",NA,1,"II",1,0.351773846018642,0.641365640194613,0.777307981518003,0.877326614971299,0.469231359928857,0.181026499498158
"470",386,"Diamantina",NA,1,"II",1,0.0560388179764621,0.611260467735628,0.655740983122238,0.847977954589723,0.44763777992231,0.00525000400077448
"479",127,"Yellabinna",NA,1,"Ib",1,0.0605987994955601,0.614541522892868,0.393445658799835,0.779510849113206,0.441534887544404,0.00702913020112042
"480",125,"Wollemi",NA,1,"Ib",1,0.331318121386466,0.811644592132798,0.72016700521567,0.803194810832465,0.441077976376414,0.444195249219207
"483",778,"Pilliga","KBA",NA,NA,1,0.170793678712375,0.509345247989058,0.676187074315535,0.776942012905993,0.44037230744289,0.378041960655793
"504",772,"Buckley River","KBA",NA,NA,1,0.105037155062751,0.566959867631608,0.877301120537843,0.916821969599602,0.428971242224848,0.0212858640686372
"517",20,"Pegunungan Tamrau Selatan",NA,1,"Ia",1,0.616996146674439,0.96846558041411,0.72430338899567,0.572110058255341,0.423377727137918,0.860929549420266
"528",382,"Staaten River",NA,1,"II",1,0.166213694404296,0.693265286192306,0.853615536756533,0.954755872990715,0.418432460922048,0.0336553020046975
"533",992,"Mekongga","KBA",NA,NA,1,0.387587776603617,0.879699166405109,0.475556359045013,0.101865610833772,0.41558719372951,0.535091067216464
"538",391,"Franklin-Gordon Wild Rivers",NA,1,"II",1,0.129996599504354,0.758023582544055,0.584371688182801,0.76336421691508,0.412914862256649,0.954175811553034
"548",165,"Kahurangi National Park",NA,1,"II",1,0.0617968025139421,0.709761932404591,0.643744106451074,0.783756595578803,0.404523784033682,0.391975511533961
"553",400,"Drysdale River",NA,1,"II",1,0.19859041643793,0.719054020679633,0.776304779747228,0.771773209445955,0.40279436928102,0.031413232951328
"565",785,"Kangaroo Island","KBA",NA,NA,1,0.169280588942252,0.550556939301502,0.625044277207509,0.751234646265347,0.396930513230676,0.219871597623783
"598",30,"Witchelina Nature Reserve",NA,1,"Ia",1,0.0755418378510021,0.618472428591091,0.639831035870782,0.907930238096562,0.375884145097783,0.00395220015975526
"618",44,"Toolonga",NA,1,"Ia",1,0.068937423920326,0.60798500188102,0.707614693586015,0.765398869871731,0.367229618575131,0.0119764951155083
"623",370,"Moolgoolool",NA,1,"II",1,0.0466463019795525,0.546251722960072,0.298244816966587,0.789560280206903,0.365382501793827,0.00401331193399987
"647",993,"Pegunungan Tokalekaju","KBA",NA,NA,1,0.468953425716352,0.836948972327545,0.313748169100474,0.222284075196763,0.356735199686407,0.567942902673319
"649",404,"King Leopold Ranges",NA,1,"II",1,0.219975698267328,0.690817786018175,0.650898080303853,0.766664649097058,0.356016580183436,0.0288633879270828
"670",383,"Oyala Thumotang (Cape York Peninsula Aboriginal Land)",NA,1,"II",1,0.373349558842721,0.657343977840881,0.758707565182111,0.919314177041571,0.348068003444327,0.224687669728617
"676",1285,"Guadalcanal Watersheds","KBA",NA,NA,1,0.417563437100314,0.798469767743594,0.0396216057500616,0.707554729907138,0.343596993603249,0.396364996801501
"680",390,"Olkola (Cape York Peninsula Aboriginal Land)",NA,1,"II",1,0.245226360168092,0.648554490282649,0.882944185301814,0.916978714148896,0.341144297247724,0.15888938665842
"690",536,"Gondwana Rainforests of Australia",NA,1,"Not Applicable",1,0.521363825815867,0.761906639302623,0.890968981312465,0.477190100982931,0.336429027400072,0.370274191255661
"717",393,"Wyperfeld",NA,1,"II",1,0.0834065233601004,0.574271963311051,0.482353810529302,0.753436009748826,0.32707983122653,0.156243104083129
"721",164,"Mount Aspiring National Park",NA,1,"II",1,0.169436113527989,0.590718864137874,0.332158895578355,0.928844035027581,0.325564248895623,0.361311211895597
"731",791,"Bundarra-Barraba","KBA",NA,NA,1,0.351147641352235,0.509635235333795,0.790344204023539,0.813669251083444,0.322143171091533,0.334134886781947
"739",811,"Diamantina Floodplain","KBA",NA,NA,1,0.0485597430208806,0.638662711655486,0.649186829653923,0.797735340802867,0.31903169826434,0.00825355857025451
"753",385,"Currawinya",NA,1,"II",1,0.0443570612116381,0.543180608085953,0.486063868615748,0.932303757128637,0.312104297428406,0.0130680498882008
"789",376,"Sturt",NA,1,"II",1,0.0442939845214317,0.582297404768548,0.616282221378639,0.780460530074302,0.29300766274048,0.00373939793392174
"793",806,"Mornington Sanctuary","KBA",NA,NA,1,0.12049651212351,0.645166593884861,0.593639053129228,0.762663905522287,0.29113795341612,0.0148004387761567
"800",41,"Yeo Lake",NA,1,"Ia",1,0.113008326912393,0.63816900712417,0.315262618895805,0.793978902194948,0.289459810192464,0.00686382210066664
"812",802,"South-east Tasmania","KBA",NA,NA,1,0.157797738163883,0.697123860905514,0.587070814056944,0.766738805186127,0.28347103301487,0.730596614055147
"813",1332,"Waigeo Utara / Timur","KBA",NA,NA,1,0.191329285692021,0.948650091385593,0.34806569253724,0.664594916719885,0.283020630103054,0.831882935182102
"831",42,"Karroun Hill",NA,1,"Ia",1,0.0417622830141581,0.615285306528066,0.0565830693332024,0.730146532526842,0.276234739478988,0.0551284528867413
"833",39,"Plumridge Lakes",NA,1,"Ia",1,0.000997173873931182,0.645582976357284,0.33619782499966,0.760750790830866,0.275484917752329,0.00891828570755961
"850",378,"Carnarvon",NA,1,"II",1,0.154017860992791,0.628535874067986,0.900276333446692,1,0.266983192520299,0.249650146176899
"865",399,"Fitzgerald River",NA,1,"II",1,0.20271059662034,0.557423809094081,0.459535094793794,0.665075846482164,0.259261760608695,0.280212069182546
"881",373,"Wanna",NA,1,"II",1,0.0903558031733456,0.555767736105249,0.456392451866705,0.844630562412573,0.253146933866436,0.00417358556563831
"882",961,"North Auckland Seabird Flyway","KBA",NA,NA,1,0.143072950677713,0.460453488127026,0.668977031787773,0.735106804245948,0.25237857877065,0.188540943457251
"893",293,"Bogani Nani Wartabone",NA,1,"II",1,0.380755732579271,0.720987949492592,0.503754463666379,0.154591906796095,0.2471644027155,0.571413691813056
"910",384,"Boodjamulla (Lawn Hill)",NA,1,"II",1,0.125745842488725,0.617776123765892,0.737543622411326,0.870117466831909,0.244511382355036,0.0157940077736698
"914",19,"Enarotali",NA,1,"Ia",1,0.802449126550914,0.896592060955844,0.290346623607746,0.654029197004063,0.243547078110293,0.796514060360641
"924",1300,"Morowali","KBA",NA,NA,1,0.341215445292926,0.821322829182861,0.460843668631514,0.289726808765212,0.239707774035624,0.55264104357932
"930",395,"Cape Arid",NA,1,"II",1,0.0554595301475621,0.648823065195208,0.398137794477894,0.755792930594168,0.238800460078475,0.197922919740559
