"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"1",1152,"Changtang plateau","KBA",NA,NA,8,0.0477478514213088,0.481726328486814,0.688290749140936,0.726622575688813,1,0.00641589121162904
"2",1224,"Sanjiangyuan Nature Reserve","KBA",NA,NA,8,0.13785148516776,0.426335116708763,0.698378142718669,0.726874817141236,0.934231514894654,0.0277071815532254
"3",181,"Parc Culturel du Tassili (Illizi)",NA,1,"II",8,0.0554930946981783,0.777517113403173,0.707777009667588,0.749954684886484,0.910839832292603,NA
"4",525,"Lake Baikal",NA,1,"Not Applicable",8,0.0927532709130709,0.852472647640389,0.774074342570899,0.753183759910014,0.899457250714859,0.309642756662847
"5",612,"Ouadi Rimé - Ouadi Achim","KBA",NA,NA,3,0.0970927854530201,0.648888817672027,0.767902805851464,0.747850696640679,0.897662426570104,0.0124674316364921
"6",741,"Tabocais","KBA",NA,NA,6,0.494156533366152,0.893640657869859,0.788896335854613,0.743272260096494,0.888456780805572,0.69928988765912
"7",566,"Parc National de l'Ahaggar","KBA",NA,NA,8,0.0455593260327586,0.762477350847683,0.62675563295392,0.749919351348837,0.877814709257733,NA
"8",978,"Queen Maud Gulf","KBA",NA,NA,5,0.0170259135157473,0.999506585029581,0.406167361289408,0.749919351348837,0.875621622145036,0
"9",966,"Northeast Svalbard Nature Reserve","KBA",NA,NA,8,0,0.99594403269325,0.549337952071768,0.749919351348837,0.868091703502972,NA
"10",8,"Great Gobi",NA,1,"Ia",8,0.0921737355391909,0.728538853532959,0.845955542470962,0.798504811349442,0.863786776520426,0.00739065176546432
"11",1114,"Kytalyk","KBA",NA,NA,8,0.0239715466627697,0.990135799220595,0.564187109993269,0.749919351348837,0.863244125010869,0.0138363342183604
"12",67,"Central Kalahari",NA,1,"Ib",3,0.156891544813415,0.618703498618562,0.784548243644408,0.749955061636359,0.862368310256358,0.0446710437326349
"13",197,"Namib-Naukluft",NA,1,"II",3,0.211160578969486,0.699564918589341,0.85276231078225,0.751429461642298,0.860188323521636,0.0549817222911949
"14",539,"Selous Game Reserve",NA,1,"Not Applicable",3,0.502028567532873,0.883595432228659,0.846394578430866,0.521993660296767,0.854829835648883,0.212129631128907
"15",478,"Bassin de la Lufira",NA,1,"II",3,0.379665058258695,0.750219466433174,0.855582218245381,0.738471515733829,0.848440569652686,0.231027015370082
"16",521,"Qinghai Hoh Xil",NA,1,"Not Applicable",8,0.0564032111185641,0.512883509838332,0.675377565201248,0.724580618778271,0.84735101473878,0.00979719942160013
"17",502,"Serrania de Chiribiquete",NA,1,"II",6,0.449217493065863,0.916668457375467,0.755445282210466,0.763071808938074,0.846980388807808,0.752857216412014
"18",331,"Manu Alto Purus",NA,1,"II",6,0.703182547126002,0.926144565491909,0.708736402385031,0.649008582174884,0.846041991734694,0.741217560454106
"19",49,"Estação Ecológica Do Grão Pará",NA,1,"Ia",6,0.421859125359085,0.939888780087733,0.729559576153479,0.747522892167595,0.846032006492833,0.811898523344082
"20",632,"Registan desert","KBA",NA,NA,8,0.111151981802446,0.676708489275051,0.656250150699898,0.730439793560358,0.843653004646509,0.00432424099462183
"21",1250,"Area between Qinghai Hu and A'nyêmaqên","KBA",NA,NA,8,0.108389649643313,0.514795279568105,0.757183328986315,0.729091229364732,0.842989434411027,0.0221430388790024
"22",254,"Wrangell-St. Elias",NA,1,"II",5,0.0510987896122286,0.983564266438535,0.726300263975798,0.749939247904014,0.84290637782376,0.121180468466424
"23",529,"Volcanoes of Kamchatka",NA,1,"Not Applicable",8,0.0380805735123868,0.926268534774993,0.667141575328113,0.749816807944473,0.841417785345867,0.14748694047492
"24",756,"Ilha de Marajó","KBA",NA,NA,6,0.41170282580616,0.820635432885789,0.786353800855018,0.732836215900776,0.840530560431475,0.499605883899117
"25",309,"Bernardo O'Higgins",NA,1,"II",6,0.168918107844125,0.805419284221731,0.508409003272271,0.802303885222168,0.839672576399528,0.311696588309179
