"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"62",682,"Askot Wildlife Sanctuary and Goriganga Basin","KBA",NA,NA,4,0.296720779997505,0.725783196214205,0.445929400031155,0.733923818243312,0.0415492977254428,0.154346237435059
"74",859,"Ayeyarwady Delta (including Meinmahla Kyun)","KBA",NA,NA,4,0.116149624890645,0.462873051524916,0.380210338501384,0.730665019046155,0.618554208324693,0.231188550690069
"96",1258,"Balbalasang-Balbalan National Park and proposed e*","KBA",NA,NA,4,0.77726471809298,0.657704917462032,0.530440112418634,0.758256594333896,0.328869040719795,0.331475538338417
"102",676,"Banni Grassland and Chhari Dhand","KBA",NA,NA,4,0.0189500410507808,0.890735273642664,0.47664270916865,0.612405573427168,0.172778345370007,0.00539508915716049
"113",665,"Belum-Temenggor","KBA",NA,NA,4,0.848597247620327,0.966577799781966,0.847383936862251,0.567558837322828,0.320967388490911,0.629713794643615
"115",292,"Betung Kerihun",NA,1,"II",4,0.637936592407667,0.981138790078419,0.729376014630612,0.549470874181815,0.729555271977139,0.857346644614923
"117",677,"Bhal area","KBA",NA,NA,4,0.0425712043675812,0.441106456417501,0.719039773807122,0.719323933399538,0.199342409279423,0.00627908888764299
"123",1267,"Bintang Range","KBA",NA,NA,4,0.82397952258358,0.678973353710944,0.978172359355246,0.63171809767177,0.194999857049786,0.503720416997595
"150",294,"Bukit Baka -  Bukit Raya",NA,1,"II",4,0.32278770673992,0.937249867168803,0.553883368097535,0.452027624316078,0.121851792484875,0.941310250001425
"151",295,"Bukit Barisan Selatan",NA,1,"II",4,0.500059373198058,0.636722123746696,0.206595465028129,0.316535327279233,0.263061536755158,0.589737518255269
"152",660,"Bukit Panjang - Bukit Siguntang","KBA",NA,NA,4,0.444382522332412,0.230640538276087,0.998094976408771,0,0.124894500502412,0.356999606454238
"153",18,"Bukit Sapat Hawung",NA,1,"Ia",4,0.436564069047494,0.967286620343249,0.631407861647678,0.47330893666758,0.0152381072797794,0.955274533221757
