"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"2",1016,"Área Natural de Manejo Integrado San Matías","KBA",NA,NA,6,0.293909508677199,0.481175874735077,0.795450263062841,0.679720938803719,0.888801129374591,0.244907880080322
"6",1351,"Abra Patricia - Alto Mayo","KBA",NA,NA,6,0.710056782827998,0.826129826887831,0.691595059715831,0.381573207997492,0.58533176556622,0.732024862636121
"16",267,"Aguaro-Guariquito",NA,1,"II",6,0.275283413755678,0.443142911080146,0.789980392890782,0.859499102145116,0.653061879245617,0.0926753811548989
"27",307,"Alberto De Agostini",NA,1,"II",6,0.0143134809023346,0.853891852429501,0.52333950448772,NA,0.749577253856493,0.336532978773934
"35",740,"Alto Juruá","KBA",NA,NA,6,0.429480233963359,0.94104674234078,0.726642151433873,0.802490481474379,0.641881679944341,0.885433303071325
"36",335,"Alto Purus",NA,1,"II",6,0.477512168229162,0.989212034842751,0.635765584094174,0.695307265612689,0.852696680079899,0.865124028317525
"37",766,"Alto Rio Juruena","KBA",NA,NA,6,0.321462025335931,0.408867890062493,0.670920700533746,0.733432180121785,0.71384182294139,0.30680690689389
"66",697,"Atitlan","KBA",NA,NA,6,0.518055887539289,0.457183328491783,0.686442990056799,0.484929005951381,0.550831679671392,0.250633803075745
"70",761,"Aurora do Tocantins / Taguatinga","KBA",NA,NA,6,0.231850707129355,0.25737633293533,0.710655783624033,0.665991417387687,0.590936237905412,0.238853779615371
"76",499,"Azul Meámbar",NA,1,"II",6,0.383766947819385,0.854618575966808,0.568243594104992,0.739289634738031,0.252240421435224,0.252879727877991
"77",1042,"Bañado La Estrella Este","KBA",NA,NA,6,0.157720945278825,0.595638863147009,0.422706701520834,0.697673119803789,0.548433137947524,0.260230625574138
"78",1043,"Bañado La Estrella Oeste","KBA",NA,NA,6,0.179418151726939,0.565476849603509,0.405627235222649,0.796538262477989,0.506592064794216,0.235416974870173
"79",1053,"Bañados del Río Atuel","KBA",NA,NA,6,0.0414629102204105,0.598678541320411,0.511646121435741,0.160565451734689,0.740980238127483,0.0106883788914531
"88",337,"Bahuaja - Sonene",NA,1,"II",6,0.613561915646191,0.812536828008796,0.87328524002879,0.695032871129279,0.738917632821732,0.653972316868854
"91",746,"Baixada Maranhense","KBA",NA,NA,6,0.28147593287387,0.642901157148908,0.809435238473294,0.757313922579346,0.824808137106933,0.209421502291297
