"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"1",1152,"Changtang plateau","KBA",NA,NA,8,0.0774868431296471,0.426259141562946,0.660784897209347,0.556242328564564,1,0.0111305564557891
"2",1224,"Sanjiangyuan Nature Reserve","KBA",NA,NA,8,0.31727122164954,0.364571357273687,0.680694487794875,0.556707453818036,0.934231514894654,0.0480824498952016
"3",181,"Parc Culturel du Tassili (Illizi)",NA,1,"II",8,0.0799171076869707,0.75488256264695,0.677675657984244,0.594451335456354,0.910839832292603,NA
"4",525,"Lake Baikal",NA,1,"Not Applicable",8,0.140034869685005,0.835466716728555,0.787810580751958,0.600806118503793,0.899457250714859,0.549675603941551
"7",566,"Parc National de l'Ahaggar","KBA",NA,NA,8,0.0504223476071781,0.738263188989897,0.565634443363155,0.594385922901639,0.877814709257733,NA
"9",966,"Northeast Svalbard Nature Reserve","KBA",NA,NA,8,0.0909326926428675,0.99618476431841,0.491850895594145,0.594385922901639,0.868091703502972,NA
"10",8,"Great Gobi",NA,1,"Ia",8,0.122811234038301,0.700116675977232,0.868780775314841,0.673940553405976,0.863786776520426,0.0128215135945314
"11",1114,"Kytalyk","KBA",NA,NA,8,0.0364830701648267,0.989898280082295,0.488904829591702,0.594385922901639,0.863244125010869,0.0251335818359616
"16",521,"Qinghai Hoh Xil",NA,1,"Not Applicable",8,0.11320844838434,0.461299759022674,0.643247978524629,0.552906005330769,0.84735101473878,0.0169964284983982
"20",632,"Registan desert","KBA",NA,NA,8,0.199232055257376,0.640668339816557,0.609695285292536,0.557971926981964,0.843653004646509,0.00750179245662787
"21",1250,"Area between Qinghai Hu and A'nyêmaqên","KBA",NA,NA,8,0.226348853926515,0.483085845465129,0.764190880942332,0.560570103956599,0.842989434411027,0.0384157982585368
"23",529,"Volcanoes of Kamchatka",NA,1,"Not Applicable",8,0.0456058115732349,0.925549621494364,0.645432107874055,0.594218019867762,0.841417785345867,0.260023779852421
"27",1115,"Keremesit-Sundrun watershed","KBA",NA,NA,8,0.0366280576728966,0.987929674661793,0.308462259734173,0.594385922901639,0.838074275770749,4.61154549602363e-06
"31",1117,"Novosibirski archipelago","KBA",NA,NA,8,0.0107198219653692,1,0.464158588644034,0.594385922901639,0.835471699533719,NA
"33",1158,"Eastern Qilian Shan mountains","KBA",NA,NA,8,0.181190640111109,0.451092733755627,0.857412429342375,0.568782764031578,0.832039625477353,0.0573914605328153
"39",1106,"Lena delta","KBA",NA,NA,8,0.0250947091382727,0.998056057777524,0.501220868040737,0.594385922901639,0.824827647418228,0.000141249361464177
"40",646,"Empty Quarter","KBA",NA,NA,8,0.0870248720926368,0.785461122757766,0.544794342134996,0.591121868149045,0.821965277920117,NA
"47",1118,"Kolyma-Alazeya lowland","KBA",NA,NA,8,0.0379509885088758,0.943076987946163,0.476414433336203,0.594385922901639,0.816682013472693,0.0091983123132693
"48",528,"Virgin Komi Forests",NA,1,"Not Applicable",8,0.0581759787777921,0.904972869351581,0.324212569071588,0.593573560605888,0.816536972295025,0.565882333916416
"49",1169,"Altay forest and steppe","KBA",NA,NA,8,0.16461437883492,0.401285838257102,0.755808827578432,0.625832895569564,0.812345073182275,0.252611930807482
"50",208,"Gobi Gurvansaikhan range",NA,1,"II",8,0.0908024789092407,0.556132521905139,0.822197336131857,0.743415766045476,0.811731573863298,0.0121762205833924
